================ Training Loss (Sat Feb 21 20:22:08 2026) ================
[Rank 0] (epoch: 2, iters: 1220, time: 0.057, data: 0.001) , D_A: 0.144, G_A: 0.676, cycle_A: 0.267, idt_A: 0.235, D_B: 0.141, G_B: 0.299, cycle_B: 0.594, idt_B: 0.090

[Rank 0] (epoch: 2, iters: 1320, time: 0.057, data: 0.001) , D_A: 0.224, G_A: 0.215, cycle_A: 0.309, idt_A: 0.362, D_B: 0.017, G_B: 0.765, cycle_B: 0.914, idt_B: 0.125

[Rank 0] (epoch: 2, iters: 1420, time: 0.109, data: 0.001) , D_A: 0.108, G_A: 0.699, cycle_A: 0.404, idt_A: 0.224, D_B: 0.061, G_B: 0.663, cycle_B: 0.631, idt_B: 0.115

[Rank 0] (epoch: 2, iters: 1520, time: 0.057, data: 0.001) , D_A: 0.140, G_A: 0.233, cycle_A: 0.418, idt_A: 0.167, D_B: 0.255, G_B: 0.158, cycle_B: 0.485, idt_B: 0.131

[Rank 0] (epoch: 2, iters: 1620, time: 0.057, data: 0.001) , D_A: 0.366, G_A: 0.577, cycle_A: 0.299, idt_A: 0.279, D_B: 0.012, G_B: 0.942, cycle_B: 0.696, idt_B: 0.151

[Rank 0] (epoch: 2, iters: 1720, time: 0.057, data: 0.001) , D_A: 0.046, G_A: 0.169, cycle_A: 0.332, idt_A: 0.242, D_B: 0.113, G_B: 1.090, cycle_B: 0.515, idt_B: 0.098

[Rank 0] (epoch: 2, iters: 1820, time: 0.110, data: 0.001) , D_A: 0.385, G_A: 0.545, cycle_A: 0.276, idt_A: 0.182, D_B: 0.062, G_B: 0.807, cycle_B: 0.401, idt_B: 0.079

[Rank 0] (epoch: 2, iters: 1920, time: 0.057, data: 0.001) , D_A: 0.165, G_A: 0.732, cycle_A: 0.338, idt_A: 0.231, D_B: 0.097, G_B: 0.918, cycle_B: 0.629, idt_B: 0.109

[Rank 0] (epoch: 2, iters: 2020, time: 0.057, data: 0.001) , D_A: 0.168, G_A: 0.540, cycle_A: 0.564, idt_A: 0.145, D_B: 0.032, G_B: 0.611, cycle_B: 0.421, idt_B: 0.237

[Rank 0] (epoch: 2, iters: 2120, time: 0.057, data: 0.000) , D_A: 0.351, G_A: 0.932, cycle_A: 0.248, idt_A: 0.275, D_B: 0.024, G_B: 0.799, cycle_B: 0.823, idt_B: 0.077

[Rank 0] (epoch: 2, iters: 2220, time: 0.116, data: 0.000) , D_A: 0.184, G_A: 0.384, cycle_A: 0.353, idt_A: 0.366, D_B: 0.032, G_B: 0.966, cycle_B: 0.952, idt_B: 0.113

[Rank 0] (epoch: 2, iters: 2320, time: 0.057, data: 0.000) , D_A: 0.082, G_A: 0.467, cycle_A: 0.281, idt_A: 0.277, D_B: 0.026, G_B: 1.111, cycle_B: 0.756, idt_B: 0.098

[Rank 0] (epoch: 2, iters: 2420, time: 0.057, data: 0.001) , D_A: 0.290, G_A: 0.179, cycle_A: 0.395, idt_A: 0.370, D_B: 0.065, G_B: 0.940, cycle_B: 0.875, idt_B: 0.110

[Rank 0] (epoch: 2, iters: 2520, time: 0.057, data: 0.001) , D_A: 0.112, G_A: 0.532, cycle_A: 0.260, idt_A: 0.311, D_B: 0.195, G_B: 1.094, cycle_B: 0.700, idt_B: 0.069

[Rank 0] (epoch: 3, iters: 40, time: 0.118, data: 0.001) , D_A: 0.144, G_A: 0.747, cycle_A: 0.354, idt_A: 0.344, D_B: 0.081, G_B: 1.175, cycle_B: 0.854, idt_B: 0.084

[Rank 0] (epoch: 3, iters: 140, time: 0.057, data: 0.001) , D_A: 0.098, G_A: 0.647, cycle_A: 0.478, idt_A: 0.519, D_B: 0.042, G_B: 0.521, cycle_B: 1.080, idt_B: 0.108

[Rank 0] (epoch: 3, iters: 240, time: 0.057, data: 0.000) , D_A: 0.037, G_A: 0.471, cycle_A: 0.294, idt_A: 0.228, D_B: 0.045, G_B: 0.626, cycle_B: 0.603, idt_B: 0.085

[Rank 0] (epoch: 3, iters: 340, time: 0.057, data: 0.001) , D_A: 0.032, G_A: 0.732, cycle_A: 0.256, idt_A: 0.142, D_B: 0.135, G_B: 0.574, cycle_B: 0.405, idt_B: 0.078

[Rank 0] (epoch: 3, iters: 440, time: 0.110, data: 0.000) , D_A: 0.061, G_A: 0.236, cycle_A: 0.327, idt_A: 0.152, D_B: 0.068, G_B: 0.702, cycle_B: 0.441, idt_B: 0.097

[Rank 0] (epoch: 3, iters: 540, time: 0.056, data: 0.001) , D_A: 0.063, G_A: 0.634, cycle_A: 0.270, idt_A: 0.133, D_B: 0.135, G_B: 0.447, cycle_B: 0.328, idt_B: 0.111

[Rank 0] (epoch: 3, iters: 640, time: 0.057, data: 0.000) , D_A: 0.203, G_A: 0.298, cycle_A: 0.327, idt_A: 0.161, D_B: 0.104, G_B: 0.956, cycle_B: 0.451, idt_B: 0.097

[Rank 0] (epoch: 3, iters: 740, time: 0.057, data: 0.001) , D_A: 0.191, G_A: 0.404, cycle_A: 0.431, idt_A: 0.242, D_B: 0.046, G_B: 0.714, cycle_B: 0.701, idt_B: 0.145

[Rank 0] (epoch: 3, iters: 840, time: 0.111, data: 0.001) , D_A: 0.254, G_A: 1.321, cycle_A: 0.327, idt_A: 0.223, D_B: 0.097, G_B: 0.564, cycle_B: 0.543, idt_B: 0.111

[Rank 0] (epoch: 3, iters: 940, time: 0.057, data: 0.001) , D_A: 0.267, G_A: 0.115, cycle_A: 0.322, idt_A: 0.192, D_B: 0.039, G_B: 0.645, cycle_B: 0.603, idt_B: 0.101

[Rank 0] (epoch: 3, iters: 1040, time: 0.056, data: 0.001) , D_A: 0.061, G_A: 0.650, cycle_A: 0.319, idt_A: 0.206, D_B: 0.073, G_B: 0.809, cycle_B: 0.524, idt_B: 0.086

[Rank 0] (epoch: 3, iters: 1140, time: 0.057, data: 0.002) , D_A: 0.048, G_A: 0.198, cycle_A: 0.332, idt_A: 0.164, D_B: 0.077, G_B: 0.718, cycle_B: 0.539, idt_B: 0.105

[Rank 0] (epoch: 3, iters: 1240, time: 0.111, data: 0.000) , D_A: 0.067, G_A: 0.819, cycle_A: 0.392, idt_A: 0.190, D_B: 0.042, G_B: 0.696, cycle_B: 0.509, idt_B: 0.136

[Rank 0] (epoch: 3, iters: 1340, time: 0.057, data: 0.001) , D_A: 0.045, G_A: 1.092, cycle_A: 0.543, idt_A: 0.143, D_B: 0.292, G_B: 0.883, cycle_B: 0.376, idt_B: 0.135

[Rank 0] (epoch: 3, iters: 1440, time: 0.057, data: 0.001) , D_A: 0.085, G_A: 0.530, cycle_A: 0.328, idt_A: 0.241, D_B: 0.075, G_B: 0.400, cycle_B: 0.560, idt_B: 0.100

[Rank 0] (epoch: 3, iters: 1540, time: 0.057, data: 0.000) , D_A: 0.080, G_A: 0.444, cycle_A: 0.398, idt_A: 0.289, D_B: 0.049, G_B: 0.626, cycle_B: 0.672, idt_B: 0.093

[Rank 0] (epoch: 3, iters: 1640, time: 0.110, data: 0.001) , D_A: 0.115, G_A: 0.413, cycle_A: 0.505, idt_A: 0.157, D_B: 0.069, G_B: 0.730, cycle_B: 0.513, idt_B: 0.202

[Rank 0] (epoch: 3, iters: 1740, time: 0.058, data: 0.001) , D_A: 0.042, G_A: 0.402, cycle_A: 0.287, idt_A: 0.257, D_B: 0.027, G_B: 0.769, cycle_B: 0.479, idt_B: 0.096

[Rank 0] (epoch: 3, iters: 1840, time: 0.057, data: 0.001) , D_A: 0.067, G_A: 0.531, cycle_A: 0.299, idt_A: 0.181, D_B: 0.023, G_B: 0.709, cycle_B: 0.405, idt_B: 0.084

[Rank 0] (epoch: 3, iters: 1940, time: 0.057, data: 0.001) , D_A: 0.070, G_A: 0.805, cycle_A: 0.370, idt_A: 0.156, D_B: 0.033, G_B: 1.131, cycle_B: 0.453, idt_B: 0.143

[Rank 0] (epoch: 3, iters: 2040, time: 0.115, data: 0.001) , D_A: 0.158, G_A: 0.587, cycle_A: 0.225, idt_A: 0.344, D_B: 0.034, G_B: 0.755, cycle_B: 0.905, idt_B: 0.075

[Rank 0] (epoch: 3, iters: 2140, time: 0.057, data: 0.001) , D_A: 0.152, G_A: 0.265, cycle_A: 0.332, idt_A: 0.167, D_B: 0.027, G_B: 0.576, cycle_B: 0.753, idt_B: 0.098

[Rank 0] (epoch: 3, iters: 2240, time: 0.057, data: 0.001) , D_A: 0.042, G_A: 0.432, cycle_A: 0.275, idt_A: 0.130, D_B: 0.025, G_B: 0.946, cycle_B: 0.373, idt_B: 0.091

[Rank 0] (epoch: 3, iters: 2340, time: 0.057, data: 0.001) , D_A: 0.024, G_A: 0.396, cycle_A: 0.415, idt_A: 0.157, D_B: 0.041, G_B: 0.691, cycle_B: 0.353, idt_B: 0.155

[Rank 0] (epoch: 3, iters: 2440, time: 0.115, data: 0.001) , D_A: 0.217, G_A: 0.502, cycle_A: 0.338, idt_A: 0.323, D_B: 0.022, G_B: 0.983, cycle_B: 0.765, idt_B: 0.098

[Rank 0] (epoch: 3, iters: 2540, time: 0.057, data: 0.001) , D_A: 0.052, G_A: 0.931, cycle_A: 0.380, idt_A: 0.221, D_B: 0.064, G_B: 0.507, cycle_B: 0.492, idt_B: 0.125

[Rank 0] (epoch: 4, iters: 60, time: 0.057, data: 0.001) , D_A: 0.103, G_A: 0.588, cycle_A: 0.273, idt_A: 0.151, D_B: 0.036, G_B: 0.731, cycle_B: 0.365, idt_B: 0.089

[Rank 0] (epoch: 4, iters: 160, time: 0.057, data: 0.001) , D_A: 0.041, G_A: 1.352, cycle_A: 0.329, idt_A: 0.156, D_B: 0.018, G_B: 0.733, cycle_B: 0.431, idt_B: 0.086

[Rank 0] (epoch: 4, iters: 260, time: 0.110, data: 0.000) , D_A: 0.024, G_A: 0.510, cycle_A: 0.301, idt_A: 0.220, D_B: 0.084, G_B: 0.405, cycle_B: 0.446, idt_B: 0.090

[Rank 0] (epoch: 4, iters: 360, time: 0.057, data: 0.001) , D_A: 0.056, G_A: 0.627, cycle_A: 0.257, idt_A: 0.151, D_B: 0.054, G_B: 1.224, cycle_B: 0.373, idt_B: 0.071

[Rank 0] (epoch: 4, iters: 460, time: 0.057, data: 0.001) , D_A: 0.081, G_A: 0.620, cycle_A: 0.270, idt_A: 0.152, D_B: 0.038, G_B: 1.079, cycle_B: 0.357, idt_B: 0.091

[Rank 0] (epoch: 4, iters: 560, time: 0.057, data: 0.001) , D_A: 0.052, G_A: 0.730, cycle_A: 0.222, idt_A: 0.306, D_B: 0.008, G_B: 0.851, cycle_B: 0.700, idt_B: 0.063

[Rank 0] (epoch: 4, iters: 660, time: 0.108, data: 0.001) , D_A: 0.109, G_A: 0.963, cycle_A: 0.212, idt_A: 0.205, D_B: 0.036, G_B: 0.988, cycle_B: 0.486, idt_B: 0.064

[Rank 0] (epoch: 4, iters: 760, time: 0.059, data: 0.001) , D_A: 0.073, G_A: 0.135, cycle_A: 0.247, idt_A: 0.137, D_B: 0.014, G_B: 0.951, cycle_B: 0.354, idt_B: 0.065

[Rank 0] (epoch: 4, iters: 860, time: 0.057, data: 0.001) , D_A: 0.352, G_A: 0.840, cycle_A: 0.244, idt_A: 0.248, D_B: 0.021, G_B: 1.231, cycle_B: 0.678, idt_B: 0.071

[Rank 0] (epoch: 4, iters: 960, time: 0.057, data: 0.003) , D_A: 0.505, G_A: 1.295, cycle_A: 0.384, idt_A: 0.264, D_B: 0.342, G_B: 1.242, cycle_B: 0.729, idt_B: 0.093

[Rank 0] (epoch: 4, iters: 1060, time: 0.105, data: 0.001) , D_A: 0.075, G_A: 0.879, cycle_A: 0.319, idt_A: 0.184, D_B: 0.183, G_B: 0.348, cycle_B: 0.586, idt_B: 0.109

[Rank 0] (epoch: 4, iters: 1160, time: 0.058, data: 0.001) , D_A: 0.077, G_A: 0.956, cycle_A: 0.361, idt_A: 0.434, D_B: 0.204, G_B: 0.357, cycle_B: 1.527, idt_B: 0.097

[Rank 0] (epoch: 4, iters: 1260, time: 0.057, data: 0.001) , D_A: 0.107, G_A: 1.001, cycle_A: 0.335, idt_A: 0.257, D_B: 0.195, G_B: 0.300, cycle_B: 0.626, idt_B: 0.092

[Rank 0] (epoch: 4, iters: 1360, time: 0.058, data: 0.001) , D_A: 0.065, G_A: 0.553, cycle_A: 0.411, idt_A: 0.175, D_B: 0.282, G_B: 0.154, cycle_B: 0.362, idt_B: 0.115

[Rank 0] (epoch: 4, iters: 1460, time: 0.110, data: 0.001) , D_A: 0.191, G_A: 0.545, cycle_A: 0.341, idt_A: 0.167, D_B: 0.167, G_B: 0.396, cycle_B: 0.455, idt_B: 0.106

[Rank 0] (epoch: 4, iters: 1560, time: 0.057, data: 0.001) , D_A: 0.248, G_A: 0.742, cycle_A: 0.272, idt_A: 0.201, D_B: 0.204, G_B: 0.852, cycle_B: 0.510, idt_B: 0.071

[Rank 0] (epoch: 4, iters: 1660, time: 0.057, data: 0.001) , D_A: 0.061, G_A: 0.399, cycle_A: 0.274, idt_A: 0.626, D_B: 0.072, G_B: 0.756, cycle_B: 1.360, idt_B: 0.095

[Rank 0] (epoch: 4, iters: 1760, time: 0.057, data: 0.001) , D_A: 0.055, G_A: 0.637, cycle_A: 0.361, idt_A: 0.137, D_B: 0.043, G_B: 0.506, cycle_B: 0.385, idt_B: 0.116

[Rank 0] (epoch: 4, iters: 1860, time: 0.116, data: 0.001) , D_A: 0.141, G_A: 0.309, cycle_A: 0.359, idt_A: 0.296, D_B: 0.123, G_B: 0.818, cycle_B: 0.801, idt_B: 0.120

[Rank 0] (epoch: 4, iters: 1960, time: 0.057, data: 0.003) , D_A: 0.052, G_A: 0.161, cycle_A: 0.257, idt_A: 0.143, D_B: 0.056, G_B: 0.573, cycle_B: 0.362, idt_B: 0.065

[Rank 0] (epoch: 4, iters: 2060, time: 0.057, data: 0.001) , D_A: 0.046, G_A: 0.613, cycle_A: 0.361, idt_A: 0.122, D_B: 0.275, G_B: 0.504, cycle_B: 0.314, idt_B: 0.099

[Rank 0] (epoch: 4, iters: 2160, time: 0.057, data: 0.001) , D_A: 0.140, G_A: 0.434, cycle_A: 0.227, idt_A: 0.309, D_B: 0.040, G_B: 0.850, cycle_B: 0.752, idt_B: 0.063

[Rank 0] (epoch: 4, iters: 2260, time: 0.114, data: 0.003) , D_A: 0.070, G_A: 0.517, cycle_A: 0.241, idt_A: 0.298, D_B: 0.031, G_B: 0.504, cycle_B: 1.084, idt_B: 0.087

[Rank 0] (epoch: 4, iters: 2360, time: 0.057, data: 0.001) , D_A: 0.036, G_A: 0.574, cycle_A: 0.301, idt_A: 0.144, D_B: 0.025, G_B: 0.520, cycle_B: 0.407, idt_B: 0.083

[Rank 0] (epoch: 4, iters: 2460, time: 0.057, data: 0.001) , D_A: 0.046, G_A: 0.462, cycle_A: 0.402, idt_A: 0.552, D_B: 8.219, G_B: 7.410, cycle_B: 1.203, idt_B: 0.172

[Rank 0] (epoch: 4, iters: 2560, time: 0.057, data: 0.000) , D_A: 0.093, G_A: 0.851, cycle_A: 0.333, idt_A: 0.179, D_B: 0.209, G_B: 0.255, cycle_B: 0.470, idt_B: 0.140

[Rank 0] (epoch: 5, iters: 80, time: 0.110, data: 0.001) , D_A: 0.085, G_A: 0.475, cycle_A: 0.240, idt_A: 0.171, D_B: 0.247, G_B: 0.242, cycle_B: 0.395, idt_B: 0.073

[Rank 0] (epoch: 5, iters: 180, time: 0.057, data: 0.001) , D_A: 0.098, G_A: 0.511, cycle_A: 0.245, idt_A: 0.325, D_B: 0.231, G_B: 0.228, cycle_B: 0.899, idt_B: 0.070

[Rank 0] (epoch: 5, iters: 280, time: 0.056, data: 0.001) , D_A: 0.205, G_A: 0.481, cycle_A: 0.378, idt_A: 0.277, D_B: 0.221, G_B: 0.415, cycle_B: 0.585, idt_B: 0.132

[Rank 0] (epoch: 5, iters: 380, time: 0.057, data: 0.001) , D_A: 0.034, G_A: 0.413, cycle_A: 0.308, idt_A: 0.118, D_B: 0.253, G_B: 0.314, cycle_B: 0.289, idt_B: 0.086

[Rank 0] (epoch: 5, iters: 480, time: 0.108, data: 0.001) , D_A: 0.092, G_A: 0.430, cycle_A: 0.239, idt_A: 0.165, D_B: 0.312, G_B: 0.185, cycle_B: 0.350, idt_B: 0.068

[Rank 0] (epoch: 5, iters: 580, time: 0.057, data: 0.001) , D_A: 0.166, G_A: 0.413, cycle_A: 0.260, idt_A: 0.237, D_B: 0.163, G_B: 0.514, cycle_B: 0.612, idt_B: 0.081

[Rank 0] (epoch: 5, iters: 680, time: 0.057, data: 0.001) , D_A: 0.027, G_A: 0.736, cycle_A: 0.192, idt_A: 0.116, D_B: 0.279, G_B: 0.118, cycle_B: 0.319, idt_B: 0.058

[Rank 0] (epoch: 5, iters: 780, time: 0.057, data: 0.001) , D_A: 0.138, G_A: 0.309, cycle_A: 0.196, idt_A: 0.173, D_B: 0.049, G_B: 0.539, cycle_B: 0.458, idt_B: 0.058

[Rank 0] (epoch: 5, iters: 880, time: 0.115, data: 0.001) , D_A: 0.163, G_A: 0.681, cycle_A: 0.219, idt_A: 0.295, D_B: 0.090, G_B: 0.352, cycle_B: 0.799, idt_B: 0.061

[Rank 0] (epoch: 5, iters: 980, time: 0.057, data: 0.001) , D_A: 0.274, G_A: 0.287, cycle_A: 0.222, idt_A: 0.246, D_B: 0.119, G_B: 0.539, cycle_B: 0.656, idt_B: 0.060

[Rank 0] (epoch: 5, iters: 1080, time: 0.057, data: 0.001) , D_A: 0.031, G_A: 1.266, cycle_A: 0.220, idt_A: 0.137, D_B: 0.036, G_B: 0.488, cycle_B: 0.343, idt_B: 0.075

[Rank 0] (epoch: 5, iters: 1180, time: 0.057, data: 0.001) , D_A: 0.185, G_A: 2.091, cycle_A: 0.224, idt_A: 0.154, D_B: 0.087, G_B: 0.640, cycle_B: 0.386, idt_B: 0.070

[Rank 0] (epoch: 5, iters: 1280, time: 0.115, data: 0.000) , D_A: 0.047, G_A: 1.112, cycle_A: 0.228, idt_A: 0.296, D_B: 0.136, G_B: 0.748, cycle_B: 0.718, idt_B: 0.063

[Rank 0] (epoch: 5, iters: 1380, time: 0.057, data: 0.000) , D_A: 0.134, G_A: 0.558, cycle_A: 0.251, idt_A: 0.287, D_B: 0.054, G_B: 0.528, cycle_B: 0.740, idt_B: 0.084

[Rank 0] (epoch: 5, iters: 1480, time: 0.057, data: 0.001) , D_A: 0.065, G_A: 0.468, cycle_A: 0.232, idt_A: 0.239, D_B: 0.049, G_B: 1.133, cycle_B: 0.611, idt_B: 0.086

[Rank 0] (epoch: 5, iters: 1580, time: 0.057, data: 0.001) , D_A: 0.127, G_A: 1.324, cycle_A: 0.238, idt_A: 0.253, D_B: 0.031, G_B: 0.822, cycle_B: 0.529, idt_B: 0.068

[Rank 0] (epoch: 5, iters: 1680, time: 0.117, data: 0.001) , D_A: 0.037, G_A: 0.461, cycle_A: 0.221, idt_A: 0.280, D_B: 0.020, G_B: 0.593, cycle_B: 0.794, idt_B: 0.063

