================ Training Loss (Sat Feb 21 15:53:10 2026) ================
[Rank 0] (epoch: 2, iters: 1820, time: 0.122, data: 0.001) , D_A: 0.227, G_A: 0.961, cycle_A: 0.380, idt_A: 0.170, D_B: 0.119, G_B: 0.685, cycle_B: 0.484, idt_B: 0.113

[Rank 0] (epoch: 2, iters: 1920, time: 0.072, data: 0.001) , D_A: 0.074, G_A: 0.680, cycle_A: 0.341, idt_A: 0.173, D_B: 0.070, G_B: 0.816, cycle_B: 0.505, idt_B: 0.149

[Rank 0] (epoch: 2, iters: 2020, time: 0.072, data: 0.001) , D_A: 0.073, G_A: 0.378, cycle_A: 0.332, idt_A: 0.110, D_B: 0.049, G_B: 0.666, cycle_B: 0.234, idt_B: 0.141

[Rank 0] (epoch: 2, iters: 2120, time: 0.072, data: 0.001) , D_A: 0.103, G_A: 0.775, cycle_A: 0.318, idt_A: 0.216, D_B: 0.141, G_B: 0.245, cycle_B: 0.502, idt_B: 0.124

[Rank 0] (epoch: 2, iters: 2220, time: 0.121, data: 0.001) , D_A: 0.043, G_A: 0.327, cycle_A: 0.319, idt_A: 0.103, D_B: 0.038, G_B: 0.927, cycle_B: 0.289, idt_B: 0.102

[Rank 0] (epoch: 2, iters: 2320, time: 0.072, data: 0.001) , D_A: 0.103, G_A: 0.344, cycle_A: 0.367, idt_A: 0.247, D_B: 0.176, G_B: 0.514, cycle_B: 0.549, idt_B: 0.132

[Rank 0] (epoch: 2, iters: 2420, time: 0.071, data: 0.000) , D_A: 0.110, G_A: 0.478, cycle_A: 0.482, idt_A: 0.088, D_B: 0.216, G_B: 1.146, cycle_B: 0.246, idt_B: 0.176

[Rank 0] (epoch: 2, iters: 2520, time: 0.071, data: 0.001) , D_A: 0.064, G_A: 0.780, cycle_A: 0.328, idt_A: 0.086, D_B: 0.069, G_B: 0.647, cycle_B: 0.241, idt_B: 0.123

[Rank 0] (epoch: 3, iters: 40, time: 0.129, data: 0.001) , D_A: 0.057, G_A: 0.679, cycle_A: 0.322, idt_A: 0.180, D_B: 0.048, G_B: 0.634, cycle_B: 0.681, idt_B: 0.115

[Rank 0] (epoch: 3, iters: 140, time: 0.071, data: 0.001) , D_A: 0.037, G_A: 0.382, cycle_A: 0.474, idt_A: 0.168, D_B: 0.064, G_B: 0.753, cycle_B: 0.360, idt_B: 0.169

[Rank 0] (epoch: 3, iters: 240, time: 0.072, data: 0.001) , D_A: 0.074, G_A: 0.507, cycle_A: 0.369, idt_A: 0.087, D_B: 0.099, G_B: 0.459, cycle_B: 0.233, idt_B: 0.148

[Rank 0] (epoch: 3, iters: 340, time: 0.071, data: 0.001) , D_A: 0.150, G_A: 0.385, cycle_A: 0.411, idt_A: 0.258, D_B: 0.068, G_B: 0.898, cycle_B: 0.774, idt_B: 0.205

[Rank 0] (epoch: 3, iters: 440, time: 0.120, data: 0.001) , D_A: 0.080, G_A: 1.044, cycle_A: 0.352, idt_A: 0.159, D_B: 0.168, G_B: 1.037, cycle_B: 0.279, idt_B: 0.166

[Rank 0] (epoch: 3, iters: 540, time: 0.071, data: 0.001) , D_A: 0.069, G_A: 0.691, cycle_A: 0.292, idt_A: 0.146, D_B: 0.164, G_B: 0.809, cycle_B: 0.335, idt_B: 0.118

[Rank 0] (epoch: 3, iters: 640, time: 0.071, data: 0.001) , D_A: 0.212, G_A: 0.339, cycle_A: 0.305, idt_A: 0.062, D_B: 0.032, G_B: 0.699, cycle_B: 0.262, idt_B: 0.112

[Rank 0] (epoch: 3, iters: 740, time: 0.071, data: 0.001) , D_A: 0.036, G_A: 0.216, cycle_A: 0.349, idt_A: 0.143, D_B: 0.265, G_B: 0.258, cycle_B: 0.386, idt_B: 0.150

[Rank 0] (epoch: 3, iters: 840, time: 0.121, data: 0.001) , D_A: 0.165, G_A: 0.258, cycle_A: 0.341, idt_A: 0.098, D_B: 0.225, G_B: 0.303, cycle_B: 0.367, idt_B: 0.131

[Rank 0] (epoch: 3, iters: 940, time: 0.071, data: 0.000) , D_A: 0.460, G_A: 0.381, cycle_A: 0.391, idt_A: 0.299, D_B: 0.150, G_B: 0.519, cycle_B: 0.837, idt_B: 0.165

[Rank 0] (epoch: 3, iters: 1040, time: 0.071, data: 0.001) , D_A: 0.103, G_A: 0.559, cycle_A: 0.390, idt_A: 0.181, D_B: 0.206, G_B: 0.216, cycle_B: 0.475, idt_B: 0.172

[Rank 0] (epoch: 3, iters: 1140, time: 0.071, data: 0.001) , D_A: 0.135, G_A: 0.496, cycle_A: 0.295, idt_A: 0.237, D_B: 0.159, G_B: 0.346, cycle_B: 0.346, idt_B: 0.133

[Rank 0] (epoch: 3, iters: 1240, time: 0.123, data: 0.000) , D_A: 0.316, G_A: 0.089, cycle_A: 0.302, idt_A: 0.122, D_B: 0.223, G_B: 0.374, cycle_B: 0.374, idt_B: 0.125

[Rank 0] (epoch: 3, iters: 1340, time: 0.072, data: 0.001) , D_A: 0.054, G_A: 0.609, cycle_A: 0.264, idt_A: 0.072, D_B: 0.121, G_B: 0.251, cycle_B: 0.321, idt_B: 0.106

[Rank 0] (epoch: 3, iters: 1440, time: 0.071, data: 0.000) , D_A: 0.129, G_A: 0.488, cycle_A: 0.301, idt_A: 0.071, D_B: 0.150, G_B: 0.324, cycle_B: 0.282, idt_B: 0.122

[Rank 0] (epoch: 3, iters: 1540, time: 0.072, data: 0.001) , D_A: 0.058, G_A: 0.829, cycle_A: 0.335, idt_A: 0.064, D_B: 0.114, G_B: 0.755, cycle_B: 0.251, idt_B: 0.154

[Rank 0] (epoch: 3, iters: 1640, time: 0.128, data: 0.001) , D_A: 0.053, G_A: 0.950, cycle_A: 0.259, idt_A: 0.329, D_B: 0.028, G_B: 0.843, cycle_B: 0.760, idt_B: 0.102

[Rank 0] (epoch: 3, iters: 1740, time: 0.071, data: 0.001) , D_A: 0.420, G_A: 0.061, cycle_A: 0.334, idt_A: 0.322, D_B: 0.125, G_B: 0.483, cycle_B: 0.726, idt_B: 0.126

[Rank 0] (epoch: 3, iters: 1840, time: 0.071, data: 0.000) , D_A: 0.083, G_A: 0.640, cycle_A: 0.247, idt_A: 0.124, D_B: 0.052, G_B: 0.699, cycle_B: 0.290, idt_B: 0.095

[Rank 0] (epoch: 3, iters: 1940, time: 0.071, data: 0.001) , D_A: 0.221, G_A: 0.233, cycle_A: 0.327, idt_A: 0.152, D_B: 0.060, G_B: 0.677, cycle_B: 0.366, idt_B: 0.121

[Rank 0] (epoch: 3, iters: 2040, time: 0.122, data: 0.002) , D_A: 0.143, G_A: 0.262, cycle_A: 0.280, idt_A: 0.083, D_B: 0.029, G_B: 0.680, cycle_B: 0.244, idt_B: 0.115

[Rank 0] (epoch: 3, iters: 2140, time: 0.071, data: 0.001) , D_A: 0.087, G_A: 0.667, cycle_A: 0.418, idt_A: 0.123, D_B: 0.044, G_B: 0.646, cycle_B: 0.236, idt_B: 0.146

[Rank 0] (epoch: 3, iters: 2240, time: 0.072, data: 0.001) , D_A: 0.028, G_A: 0.369, cycle_A: 0.285, idt_A: 0.115, D_B: 0.030, G_B: 0.902, cycle_B: 0.264, idt_B: 0.115

[Rank 0] (epoch: 3, iters: 2340, time: 0.071, data: 0.001) , D_A: 0.126, G_A: 0.573, cycle_A: 0.460, idt_A: 0.110, D_B: 0.017, G_B: 0.896, cycle_B: 0.279, idt_B: 0.208

[Rank 0] (epoch: 3, iters: 2440, time: 0.124, data: 0.001) , D_A: 0.145, G_A: 0.468, cycle_A: 0.302, idt_A: 0.263, D_B: 0.014, G_B: 0.882, cycle_B: 0.577, idt_B: 0.129

[Rank 0] (epoch: 3, iters: 2540, time: 0.072, data: 0.001) , D_A: 0.167, G_A: 0.454, cycle_A: 0.462, idt_A: 0.114, D_B: 0.045, G_B: 1.049, cycle_B: 0.327, idt_B: 0.167

[Rank 0] (epoch: 4, iters: 60, time: 0.072, data: 0.001) , D_A: 0.140, G_A: 0.382, cycle_A: 0.326, idt_A: 0.202, D_B: 0.008, G_B: 1.019, cycle_B: 0.618, idt_B: 0.114

[Rank 0] (epoch: 4, iters: 160, time: 0.072, data: 0.001) , D_A: 0.077, G_A: 0.834, cycle_A: 0.366, idt_A: 0.056, D_B: 0.012, G_B: 0.814, cycle_B: 0.171, idt_B: 0.157

[Rank 0] (epoch: 4, iters: 260, time: 0.130, data: 0.001) , D_A: 0.218, G_A: 0.208, cycle_A: 0.295, idt_A: 0.236, D_B: 0.036, G_B: 0.883, cycle_B: 0.545, idt_B: 0.117

[Rank 0] (epoch: 4, iters: 360, time: 0.072, data: 0.001) , D_A: 0.143, G_A: 0.565, cycle_A: 0.316, idt_A: 0.190, D_B: 0.022, G_B: 1.012, cycle_B: 0.502, idt_B: 0.116

[Rank 0] (epoch: 4, iters: 460, time: 0.071, data: 0.001) , D_A: 0.043, G_A: 0.652, cycle_A: 0.282, idt_A: 0.120, D_B: 0.246, G_B: 0.297, cycle_B: 0.224, idt_B: 0.129

[Rank 0] (epoch: 4, iters: 560, time: 0.071, data: 0.001) , D_A: 0.093, G_A: 0.410, cycle_A: 0.312, idt_A: 0.094, D_B: 0.256, G_B: 0.271, cycle_B: 0.294, idt_B: 0.139

[Rank 0] (epoch: 4, iters: 660, time: 0.125, data: 0.003) , D_A: 0.046, G_A: 0.824, cycle_A: 0.283, idt_A: 0.209, D_B: 0.247, G_B: 0.291, cycle_B: 0.484, idt_B: 0.108

[Rank 0] (epoch: 4, iters: 760, time: 0.071, data: 0.001) , D_A: 0.123, G_A: 0.737, cycle_A: 0.266, idt_A: 0.101, D_B: 0.241, G_B: 0.281, cycle_B: 0.289, idt_B: 0.101

